CUSTOMERID,CUSTOMERNAME,PHONE,CONTACTFIRSTNAME,CONTACTLASTNAME,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY
1,Land of Toys Inc.,2125557818,Kwai,Yu,897 Long Airport Avenue,,NYC,NY,10022,USA,
2,Reims Collectables,26.47.1555,Paul,Henriot,59 rue de l'Abbaye,,Reims,,51100,France,EMEA
3,Lyon Souveniers,+33 1 46 62 7555,Daniel,Da Cunha,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA
4,Toys4GrownUps.com,6265557265,Julie,Young,78934 Hillside Dr.,,Pasadena,CA,90003,USA,
5,Corporate Gift Ideas Co.,6505551386,Julie,Brown,7734 Strong St.,,San Francisco,CA,,USA,
6,Technics Stores Inc.,6505556809,Juri,Hirano,9408 Furth Circle,,Burlingame,CA,94217,USA,
7,Daedalus Designs Imports,20.16.1555,Martine,Rance,"184, chausse de Tournai",,Lille,,59000,France,EMEA
8,Herkku Gifts,+47 2267 3215,Veysel,Oeztan,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA
9,Mini Wheels Co.,6505555787,Julie,Murphy,5557 North Pendale Street,,San Francisco,CA,,USA,
10,Auto Canal Petit,(1) 47.55.6555,Dominique,Perrier,"25, rue Lauriston",,Paris,,75016,France,EMEA
11,"Australian Collectors, Co.",03 9520 4555,Peter,Ferguson,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC
12,Vitachrome Inc.,2125551500,Michael,Frick,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,
13,Tekni Collectables Inc.,2015559350,William,Brown,7476 Moss Rd.,,Newark,NJ,94019,USA,
14,Gift Depot Inc.,2035552570,Julie,King,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,
15,La Rochelle Gifts,40.67.8555,Janine,Labrune,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA
16,Marta's Replicas Co.,6175558555,Marta,Hernandez,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,
17,"Toys of Finland, Co.",90-224 8555,Matti,Karttunen,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA
18,Baane Mini Imports,07-98 9555,Jonas,Bergulfsen,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA
19,Diecast Classics Inc.,2155551555,Kyung,Yu,7586 Pompton St.,,Allentown,PA,70267,USA,
20,Salzburg Collectables,6562-9555,Georg,Pipps,Geislweg 14,,Salzburg,,5020,Austria,EMEA
21,Souveniers And Things Co.,+61 2 9495 8555,Adrian,Huxley,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC
22,FunGiftIdeas.com,5085552555,Violeta,Benitez,1785 First Street,,New Bedford,MA,50553,USA,
23,"UK Collectables, Ltd.",(171) 555-2282,Elizabeth,Devon,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA
24,Euro Shopping Channel,(91) 555 94 44,Diego,Freyre,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA
25,"Volvo Model Replicas, Co",0921-12 3555,Christina,Berglund,Berguvsvgen  8,,Lule,,S-958 22,Sweden,EMEA
26,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Mart¡n,Sommer,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA
27,"Dragon Souveniers, Ltd.",+65 221 7555,Eric,Natividad,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan
28,Classic Legends Inc.,2125558493,Maria,Hernandez,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,
29,"Australian Gift Network, Co",61-7-3844-6555,Tony,Calaghan,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC
30,"Classic Gift Ideas, Inc",2155554695,Francisca,Cervantes,782 First Street,,Philadelphia,PA,71270,USA,
31,"Saveley & Henriot, Co.",78.32.5555,Mary,Saveley,"2, rue du Commerce",,Lyon,,69004,France,EMEA
32,Canadian Gift Exchange Network,(604) 555-3392,Yoshi,Tannamuri,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,
33,West Coast Collectables Co.,3105553722,Steve,Thompson,3675 Furth Circle,,Burbank,CA,94019,USA,
34,Cambridge Collectables Co.,6175555555,Kyung,Tseng,4658 Baden Av.,,Cambridge,MA,51247,USA,
35,Super Scale Inc.,2035559545,Leslie,Murphy,567 North Pendale Street,,New Haven,CT,97823,USA,
36,"Tokyo Collectables, Ltd",+81 3 3584 0555,Akiko,Shimamura,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan
37,Amica Models & Co.,011-4988555,Paolo,Accorti,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA
